DEPARTMENT_TITLE,Average_Salary,Total_Salary
CITY ATTORNEY,1092169.6656952992,1.3477373674679993E10
EMPLOYEE RELATIONS BOARD,397366.5357303371,3.536562168E7
PUBLIC WORKS - ENGINEERING,881263.9718588875,9.092881661640001E9
PUBLIC WORKS - STREET LIGHTING,731518.0946349375,2.7051539139599986E9
ANIMAL SERVICES,561196.4666142121,2.2823860297200007E9
CITY ADMINISTRATIVE OFFICER,879924.7782935152,1.5469077602399998E9
PENSION,612487.2970892945,1.2415117512E9
PUBLIC WORKS - SANITATION,696804.4383896044,2.4992284791719944E10
OFFICE OF FINANCE,701951.4440794223,3.1110488001599994E9
COLISEUM/SPORTS ARENA,324822.4866666666,1.1693609519999998E7
CULTURAL AFFAIRS,280734.4645750529,6.639370087200001E8
PUBLIC WORKS - BOARD OF PUBLIC WORKS,708781.6357657658,9.4409713884E8
MAYOR,618323.3876309561,1.8296189039999993E9
HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,734224.721206947,4.988322755879998E9
GENERAL SERVICES,613518.7674870873,1.2947086550280003E10
YOUTH DEVELOPMENT DEPARTMENT,291855.70909090905,3210412.8
EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,326196.5017114914,1.3341436919999997E8
RECREATION AND PARKS,193095.5346827059,1.7834110487760036E10
HARBOR,779545.2541167967,1.0772535866640013E10
BUILDING AND SAFETY,770875.389229631,9.376157359200003E9
CONTROLLER,726351.9281841434,1.7040216235200005E9
WATER AND POWER,963210.1439672834,1.0173329219568051E11
POLICE,979563.2050773298,1.469501537728807E11
LIBRARY,427625.9739909322,7.7340433656E9
TRANSPORTATION,540165.0543677933,1.2504280843560047E10
PUBLIC ACCOUNTABILITY,1562537.9,4.6876137E7
DISABILITY,800984.0086153847,2.0825584224E8
LOS ANGELES HOUSING,672212.1869672133,9.841186417200003E8
NEIGHBORHOOD EMPOWERMENT,518655.29336116917,2.4843588552000004E8
TREASURER,0.0,0.0
COUNCIL,519665.2301241193,3.0982441019999995E9
COMMUNITY INVESTMENT FOR FAMILIES DEPARTMENT,379237.5895652174,5.233478736E7
PUBLIC WORKS - CONTRACT ADMINISTRATION,853818.7912289646,3.348677299199999E9
AIRPORTS,720957.2744745344,3.082957497108004E10
CITY CLERK,142374.66071811237,1.2490528984799998E9
LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,217213.87960975608,2.226442266E8
CITY PLANNING,737979.7001291395,3.5430405403199987E9
"CIVIL, HUMAN RIGHTS AND EQUITY DEPARTMENT",513887.33368421043,1.9527718679999996E7
PERSONNEL,557487.8208856088,5.438851180559999E9
"COMMISSION ON CHILDREN, YOUTH AND THEIR FAMILIES",0.0,0.0
EMERGENCY MANAGEMENT,723861.6033723654,3.0908890464E8
CITY EMPLOYEES RETIREMENT SYSTEM,516313.17012658226,1.46839465584E9
CANNABIS REGULATION,579169.2066298343,1.048296264E8
LOS ANGELES CITY TOURISM DEPARTMENT,1020383.1031578948,1.938727896E7
FIRE,1098244.5305858946,4.644915417659982E10
ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,682272.7637030076,1.45187644116E9
PUBLIC WORKS - STREET SERVICES,673915.7439408123,8.92668794424E9
AGING,154083.50977043904,3.825893547600001E8
COMMISSION ON THE STATUS OF WOMEN,0.0,0.0
CITY ETHICS COMMISSION,768203.0029591838,3.0113557716E8
ZOO,420797.95901455765,1.878862887E9
INFORMATION TECHNOLOGY AGENCY,819715.7702115105,4.999446482520002E9
HUMAN RELATIONS COMMISSION,0.0,0.0
ENVIRONMENTAL AFFAIRS,0.0,0.0
